title,author,year_pub,provider,region,crop,uri,group
"N2Africa MLE data, 2016","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/9vgy-h440,survey
"N2Africa MLE data, 2016 - 2017","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/ax1c-6856,survey
"N2Africa MLE data, 2017","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/pgca-rz65,survey
"N2Africa MLE data, 2017 - 2018","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/tkcg-6205,survey
"N2Africa MLE data, 2018","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/dt06-7a71,survey
"N2Africa MLE data, 2019","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/w98q-qw47,survey
"N2Africa par measurements - Uganda, 2017","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/dtwy-dw72,survey
Effect of seed treatment and nutrient management on Millet and Sorghum establishment and yield in rainy season 2016,Fatondji et al,2019,ICRISAT,"Burkina Faso, Niger","Millet, Sorghum",doi:10.21421/D2/Q7LZMS,agronomy
Evaluation data of Pearl millet hybrids for grain Iron and Zinc during 2010 rainy season,Govindaraj  et al,2018,ICRISAT,India,Pearl millet,doi:10.21421/D2/PMNQEO,agronomy
"Understanding Smallholder Private Irrigation in Abaji, Federal Capital Territory, Nigeria","Takeshima et al.,",2017,IFPRI,Nigeria,Survey,doi:10.7910/DVN/AW2HNO,survey
"TAMASA Nigeria. Variety validation trials dataset for Northern Guinea Savanna, Nigeria. 2016","Adnan et al., ",2017,CIMMYT,Nigeria,maize,hdl:11529/223872,agronomy
Crop Diversification in Maize-Based Cropping System: Maize-Sesame Intercropping,"Kotu, Bekele (International Institute of Tropical Agriculture (IITA))",2017,IFPRI,Ghana,maize,doi:10.7910/DVN/8UFV7X,agronomy
New regionally modelled soil layers improve prediction of vegetation type relative to that based on global soil models,"Cramer et al.,",2019,Zenodo,South Africa,NA,doi:10.5061/dryad.37qc017,soil
Controls on timescales of soil organic carbon persistence across sub-Saharan Africa,"von Fromm et al.,",2023,Zenodo,sub-Saharan Africa,NA,doi:10.5281/zenodo.10211071,soil
Agroforestry species_Ethnobotanical_survey_database in Guinean-Congolese and Sudano-Guinean transition zones of Benin (West Africa),"Kakpoet al.,",2024,Zenodo,Benin,NA,doi:10.5281/zenodo.10623281,NA
"Soil carbon stock, litter decomposition, and weather data from Ethiopian forests","Alm et al.,",2022,Zenodo,Ethiopia,NA,doi:10.5281/zenodo.6566752,soil
Effects of increasing phosphorus rate on microbial dynamics and soil available P under a Lixisol soil in Zimbabwe,"Tauro et al.,",2023,Zenodo,Zimbabwe,maize,doi:10.5281/zenodo.7731653,agronomy
"Dataset from: The effects of crop type, landscape composition and agroecological practices on biodiversity and ecosystem services in tropical smallholder farms","Vogel et al.,",2023,Zenodo,sub-Saharan Africa,maize,doi:10.5061/dryad.q573n5tn2,agronomy
"InnovAfrica project baseline survey data for Ethiopia, Kenya, Malawi, Rwanda, South Africa and Tanzania","Athman et al.,",2022,Dryad,"Ethiopia, Kenya, Malawi, Rwanda, South Africa, Tanzania",NA,doi:10.5061/dryad.2bvq83bs9,survey
"InnovAfrica project endline survey data for Ethiopia, Kenya, Malawi, Rwanda, South Africa and Tanzania","Athman et al.,",2022,Dryad,"Ethiopia, Kenya, Malawi, Rwanda, South Africa, Tanzania",NA,doi:10.5061/dryad.dv41ns213,survey
"Nature+ Quantitative Baseline Household & Worker Survey, Kenya",International Food Policy Research Institute; Kula Vyema Centre,2024,IFPRI,Kenya,NA,doi:10.7910/DVN/QFQURF,survey
"Nature+ Quantitative Baseline Survey, India",IFPRI,2025,IFPRI,India,NA,doi:10.7910/DVN/QTGQKG,survey
"Papua New Guinea Rural Household Survey, 2023",IFPRI,2025,IFPRI,Papua New Guinea,NA,doi:10.7910/DVN/BYZMZ6,survey
"Nature+ Quantitative Baseline Household & Worker Survey, Kenya",IFPRI,2024,IFPRI,Kenya,NA,doi:10.7910/DVN/QFQURF,survey
Malawi: Yield Cuts Survey,IFPRI,2017,IFPRI,Malawi,maize,doi:10.7910/DVN/R4U8CZ,survey
Survey of Land and Water Management Practices Over Time on the Productivity and Economic Benefits of Cereal Crops,IFPRI,2023,IFPRI,Mali,cereals,doi:10.7910/DVN/HIMC9V,survey
Mali Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Follow-up Survey,IFPRI,2023,IFPRI,Mali,,doi:10.7910/DVN/NOEIT1,survey
Tanzania Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Follow-up Survey,IFPRI,2023,IFPRI,Tanzania,,doi:10.7910/DVN/CBYBOU,survey
